key,en,ja,zh
文件,File,ファイル,文件
编辑,Edit,編集,编辑
窗口,Window,ウィンドウ,窗口
帮助,Help,ヘルプ,帮助
数据管理,Data Management,データ管理,数据管理
镜头编辑,Shot Editing,ショット編集,镜头编辑
游戏系统,Game System,ゲームシステム,游戏系统
从头播放,Play from Start,最初から再生,从头播放
当前镜头,Current Shot,現在のショット,当前镜头
指定镜头,Specify Shot,指定ショット,指定镜头
窗口置顶,Window Always on Top,ウィンドウを最前面に,窗口置顶
镜头管理,Shot Management,ショット管理,镜头管理
打开,Open,開く,打开
镜头ID,Shot ID,ショットID,镜头ID
输出演员,Actor,出演者,输出演员
角色,Character ,キャラクター,角色
1,1,1,1
输入文本,Input Text,テキスト入力,输入文本
设置,Settings,設定,设置
角色,Character,キャラクター,角色
场景,Scene,シーン,场景
镜头,Shot,ショット,镜头
游戏名称,Game Title,ゲームタイトル,游戏名称
游戏简介,Game Description,ゲーム説明,游戏简介
版本号,Version,バージョン,版本号
